Exporter,Importer,Value
Estonia,Slovenia,50.0
Bhutan,United Arab Emirates,49.0
United Kingdom,Djibouti,49.0
Australia,Honduras,49.0
Cyprus,Poland,49.0
Mexico,Kuwait,49.0
Benin,Italy,49.0
Turkey,Gambia,49.0
Greenland,Denmark,49.0
Indonesia,Italy,49.0
Saint Kitts and Nevis,Netherlands,48.0
Bahrain,Singapore,48.0
Cyprus,Austria,48.0
South Africa,Sierra Leone,48.0
Armenia,France,48.0
Slovenia,Seychelles,48.0
Germany,Niger,48.0
Egypt,Algeria,48.0
Belgium,Turkmenistan,48.0
Morocco,Jordan,48.0
Egypt,Rwanda,48.0
Pakistan,Argentina,48.0
Slovakia,Republic of Moldova,48.0
Australia,Costa Rica,48.0
Bahamas,France,48.0
"China, mainland",Czechia,48.0
Austria,Malaysia,47.0
South Africa,Bangladesh,47.0
Norway,France,47.0
Bosnia and Herzegovina,Mongolia,47.0
Lao People's Democratic Republic,Belgium,47.0
"China, Hong Kong SAR",Australia,47.0
"China, mainland",Belarus,47.0
Chile,Malaysia,47.0
United Kingdom,"China, Macao SAR",47.0
Spain,Turkmenistan,47.0
Switzerland,Malaysia,47.0
Australia,Wallis and Futuna Islands,47.0
Cambodia,Mongolia,47.0
Sudan,Saudi Arabia,47.0
United States of America,Mauritius,47.0
Canada,Denmark,47.0
Norway,Finland,46.0
Ireland,Jordan,46.0
Republic of Moldova,United Arab Emirates,46.0
Republic of Korea,United Kingdom,46.0
Lithuania,Georgia,46.0
Austria,Cabo Verde,46.0
France,Ethiopia,46.0
Chile,Greenland,46.0
India,Malta,46.0
Malaysia,Madagascar,46.0
Ukraine,Palestine,46.0
Pakistan,Malawi,46.0
Poland,Lebanon,46.0
Guatemala,Panama,46.0
Iceland,Greenland,45.0
Ireland,Malaysia,45.0
Republic of Korea,Sudan,45.0
Tunisia,Viet Nam,45.0
Turkey,Austria,45.0
Italy,Maldives,45.0
Cambodia,United Arab Emirates,45.0
Ireland,Senegal,45.0
"China, Taiwan Province of",Panama,45.0
Italy,Cabo Verde,45.0
Slovakia,Viet Nam,45.0
Latvia,Uzbekistan,44.0
Turkey,"China, mainland",44.0
United States of America,Malawi,44.0
Singapore,France,44.0
Chile,Benin,44.0
Austria,Gabon,44.0
Czechia,Estonia,44.0
United Kingdom,Grenada,44.0
Central African Republic,Iraq,44.0
Belgium,Tajikistan,44.0
Costa Rica,Belize,44.0
France,Barbados,44.0
Paraguay,Gabon,44.0
Georgia,Uzbekistan,44.0
Sweden,Pakistan,44.0
Qatar,Bahrain,44.0
"China, Hong Kong SAR",Tonga,43.0
India,Cabo Verde,43.0
Bulgaria,Lithuania,43.0
France,Mozambique,43.0
Malaysia,Myanmar,43.0
Côte d'Ivoire,Mauritania,43.0
Ireland,Kazakhstan,43.0
Lithuania,Thailand,43.0
Guinea,Senegal,43.0
Republic of Korea,Israel,43.0
Bermuda,United States of America,43.0
Viet Nam,Denmark,43.0
Republic of Korea,Maldives,43.0
United Kingdom,Cabo Verde,43.0
Saudi Arabia,"China, mainland",43.0
Japan,Belgium,43.0
Indonesia,Germany,42.0
Greece,"China, mainland",42.0
Spain,Afghanistan,42.0
Netherlands,Zimbabwe,42.0
Morocco,France,42.0
Denmark,Guinea,42.0
Israel,Netherlands,42.0
Azerbaijan,Georgia,42.0
Chile,"China, Macao SAR",42.0
Ukraine,Angola,42.0
India,"China, Macao SAR",42.0
United States of America,Estonia,42.0
Panama,"China, Taiwan Province of",42.0
Ireland,Greece,42.0
France,Dominica,42.0
Bulgaria,Latvia,42.0
Saudi Arabia,Thailand,42.0
Montenegro,Italy,42.0
Barbados,Saint Lucia,42.0
Montenegro,Bosnia and Herzegovina,41.0
Argentina,Mozambique,41.0
Iran (Islamic Republic of),"China, mainland",41.0
Singapore,Seychelles,41.0
Denmark,North Macedonia,41.0
Belgium,Saudi Arabia,41.0
Romania,Gabon,41.0
Czechia,"China, mainland",41.0
Finland,Comoros,41.0
Sweden,Malta,41.0
"China, Hong Kong SAR",Norway,41.0
France,Guinea-Bissau,41.0
Italy,Costa Rica,41.0
Turkey,Côte d'Ivoire,41.0
Lithuania,Togo,41.0
Mongolia,Azerbaijan,41.0
Canada,Bahrain,41.0
Austria,Singapore,41.0
Ethiopia,Kuwait,41.0
Côte d'Ivoire,Liberia,40.0
Kenya,United States of America,40.0
Netherlands,Greenland,40.0
Japan,New Zealand,40.0
Spain,Chile,40.0
Morocco,Egypt,40.0
Belgium,Afghanistan,40.0
Democratic People's Republic of Korea,"China, mainland",40.0
"China, Hong Kong SAR",France,40.0
Colombia,Jamaica,40.0
Czechia,Congo,40.0
Sri Lanka,Seychelles,40.0
Malaysia,Germany,40.0
Greece,Togo,40.0
Bahrain,Liberia,40.0
Peru,Canada,40.0
Republic of Korea,Algeria,40.0
Hungary,Norway,40.0
United Republic of Tanzania,Mozambique,40.0
Canada,Maldives,40.0
Turkey,United Republic of Tanzania,39.0
Czechia,Nigeria,39.0
Jamaica,Turks and Caicos Islands,39.0
Iceland,Estonia,39.0
Argentina,Ireland,39.0
Netherlands,Pakistan,39.0
United Kingdom,Venezuela (Bolivarian Republic of),39.0
Poland,Djibouti,39.0
Italy,Brunei Darussalam,39.0
Turkey,Cameroon,39.0
Bahrain,Malta,39.0
Singapore,Netherlands,39.0
United Arab Emirates,"China, mainland",39.0
Bahrain,Panama,39.0
"China, Taiwan Province of",Brunei Darussalam,39.0
Zambia,Congo,39.0
Saudi Arabia,Comoros,39.0
Botswana,Namibia,39.0
Singapore,United Kingdom,38.0
New Zealand,Serbia,38.0
South Africa,Ukraine,38.0
United Arab Emirates,Belgium,38.0
Bulgaria,Montenegro,38.0
Singapore,Fiji,38.0
Switzerland,United States of America,38.0
Belgium,Mali,38.0
Denmark,Nepal,38.0
Mali,Guinea,38.0
Tunisia,Benin,38.0
Zambia,Saudi Arabia,38.0
Jordan,Viet Nam,38.0
Turkey,Sweden,38.0
Chile,Serbia,38.0
Sri Lanka,Lebanon,38.0
Poland,Madagascar,38.0
India,Montenegro,37.0
Iceland,Kazakhstan,37.0
Italy,Djibouti,37.0
Chile,Papua New Guinea,37.0
Sweden,Bulgaria,37.0
United Arab Emirates,Armenia,37.0
Poland,Niger,37.0
Portugal,Palestine,37.0
Germany,Ethiopia,37.0
Ireland,Croatia,37.0
Yemen,United Arab Emirates,37.0
South Africa,Australia,37.0
South Africa,Greece,37.0
Iran (Islamic Republic of),Maldives,37.0
Panama,El Salvador,37.0
Saudi Arabia,Azerbaijan,37.0
Poland,Cameroon,37.0
Norway,United Arab Emirates,37.0
Mexico,Central African Republic,37.0
Guyana,Poland,37.0
Sri Lanka,India,36.0
Sri Lanka,"China, Hong Kong SAR",36.0
United Kingdom,Serbia,36.0
United Arab Emirates,Japan,36.0
South Africa,Panama,36.0
Switzerland,Guinea,36.0
Greece,Benin,36.0
Finland,Australia,36.0
Honduras,Costa Rica,36.0
Slovenia,Mauritania,36.0
Lao People's Democratic Republic,Czechia,36.0
Turkey,"China, Taiwan Province of",36.0
Argentina,Djibouti,36.0
Uruguay,Uruguay,36.0
Bolivia (Plurinational State of),United States of America,36.0
Malaysia,New Zealand,36.0
Slovakia,Malta,36.0
Jordan,United States of America,36.0
United Kingdom,Mozambique,36.0
Ukraine,Sri Lanka,36.0
"China, mainland",Chile,36.0
United Arab Emirates,Democratic Republic of the Congo,36.0
Chile,Armenia,36.0
Portugal,Viet Nam,36.0
Lebanon,Benin,36.0
France,Uzbekistan,36.0
Germany,Grenada,36.0
Viet Nam,Greece,36.0
Georgia,Turkey,36.0
Austria,Israel,36.0
Slovenia,Belgium,35.0
Myanmar,United States of America,35.0
Bangladesh,Jordan,35.0
Australia,Brazil,35.0
Brazil,Samoa,35.0
United Arab Emirates,Niger,35.0
Mexico,Ukraine,35.0
Slovenia,Madagascar,35.0
Indonesia,United Arab Emirates,35.0
Bhutan,United States of America,34.0
Mauritania,Senegal,34.0
Kenya,Saudi Arabia,34.0
Malaysia,Bangladesh,34.0
Germany,Vanuatu,34.0
Canada,Uruguay,34.0
Canada,Romania,34.0
Croatia,Denmark,34.0
Tunisia,Niger,34.0
Belgium,Colombia,34.0
"China, mainland",Poland,34.0
Honduras,"China, Taiwan Province of",34.0
Jordan,Angola,34.0
Iceland,Côte d'Ivoire,34.0
Ukraine,Equatorial Guinea,34.0
"China, Taiwan Province of",Trinidad and Tobago,34.0
Slovakia,Congo,34.0
Switzerland,Norway,34.0
Venezuela (Bolivarian Republic of),Aruba,34.0
United States of America,Burundi,34.0
Cambodia,Nigeria,34.0
France,Uruguay,33.0
Slovakia,Luxembourg,33.0
Chile,Kazakhstan,33.0
Sri Lanka,Denmark,33.0
Greece,Equatorial Guinea,33.0
Slovenia,Congo,33.0
Tunisia,Thailand,33.0
Yemen,Kuwait,33.0
Switzerland,Hungary,33.0
North Macedonia,Germany,33.0
United Arab Emirates,Germany,33.0
Myanmar,Saudi Arabia,33.0
Turkey,Guinea-Bissau,33.0
Finland,"China, mainland",33.0
Argentina,Slovakia,33.0
Myanmar,Georgia,33.0
United Arab Emirates,Sierra Leone,33.0
Peru,Republic of Korea,33.0
Mexico,Congo,33.0
Hungary,Bahamas,32.0
Australia,Azerbaijan,32.0
United Kingdom,Guinea-Bissau,32.0
Poland,Bangladesh,32.0
Netherlands,Bahamas,32.0
Brazil,Burundi,32.0
Yemen,Qatar,32.0
Russian Federation,Benin,32.0
Republic of Korea,Saudi Arabia,32.0
Brazil,Cayman Islands,32.0
Ireland,Bosnia and Herzegovina,32.0
Finland,Cyprus,32.0
Algeria,France,32.0
Italy,Greenland,32.0
Iceland,Germany,32.0
Zambia,Ethiopia,32.0
Bahrain,Pakistan,32.0
Czechia,Libya,32.0
Germany,French Polynesia,32.0
Netherlands,Colombia,32.0
France,Trinidad and Tobago,32.0
"China, Hong Kong SAR",Venezuela (Bolivarian Republic of),31.0
Chile,New Zealand,31.0
Bosnia and Herzegovina,"China, Hong Kong SAR",31.0
Finland,New Caledonia,31.0
Russian Federation,Guinea-Bissau,31.0
Poland,Myanmar,31.0
Mexico,Thailand,31.0
United Arab Emirates,Colombia,31.0
Kenya,Ethiopia,31.0
Algeria,Niger,31.0
Mexico,Zambia,31.0
Denmark,Thailand,31.0
Colombia,Benin,31.0
New Zealand,Benin,31.0
Mexico,Austria,31.0
Italy,Ecuador,31.0
"China, mainland",Guyana,31.0
Greece,Lao People's Democratic Republic,31.0
Jordan,Palestine,31.0
Myanmar,Togo,30.0
South Africa,Pakistan,30.0
"China, Hong Kong SAR",Angola,30.0
Italy,"China, Macao SAR",30.0
Viet Nam,Morocco,30.0
Luxembourg,Ghana,30.0
Viet Nam,Mauritius,30.0
Peru,Suriname,30.0
South Africa,Togo,30.0
"China, mainland",Serbia,30.0
Malaysia,Kiribati,30.0
India,Cayman Islands,30.0
Egypt,Oman,30.0
Lithuania,Turkmenistan,30.0
Slovakia,Kazakhstan,30.0
Portugal,Czechia,30.0
Viet Nam,Iceland,30.0
Barbados,Saint Vincent and the Grenadines,30.0
Republic of Korea,United Republic of Tanzania,30.0
"China, Taiwan Province of",France,30.0
United States of America,Bosnia and Herzegovina,30.0
Czechia,Niger,30.0
Czechia,Kazakhstan,30.0
"China, Taiwan Province of",Marshall Islands,30.0
Saudi Arabia,Burkina Faso,30.0
New Zealand,Nicaragua,30.0
Thailand,Argentina,30.0
Thailand,Barbados,30.0
Greece,Malta,30.0
Viet Nam,Bahamas,30.0
Seychelles,United Arab Emirates,30.0
Qatar,Oman,29.0
Lebanon,Côte d'Ivoire,29.0
Uruguay,Madagascar,29.0
Cambodia,Niger,29.0
Jamaica,Canada,29.0
India,Slovenia,29.0
Italy,Cameroon,29.0
Netherlands,Mozambique,29.0
Pakistan,Botswana,29.0
Dominican Republic,Netherlands,29.0
"China, mainland",Timor-Leste,29.0
Republic of Korea,Kiribati,29.0
United Kingdom,Seychelles,29.0
Lebanon,United Kingdom,29.0
Egypt,Seychelles,29.0
Lithuania,Afghanistan,29.0
"China, Taiwan Province of",Tonga,29.0
Malaysia,Burkina Faso,29.0
Bangladesh,Oman,28.0
Poland,Namibia,28.0
Netherlands,United Republic of Tanzania,28.0
Romania,Uzbekistan,28.0
Russian Federation,Gabon,28.0
"China, mainland",Uganda,28.0
"China, Taiwan Province of",Brazil,28.0
Finland,Croatia,28.0
Armenia,Germany,28.0
South Africa,Mali,28.0
Namibia,United States of America,28.0
Paraguay,Congo,28.0
Greece,Ireland,28.0
Iceland,Denmark,28.0
"China, Hong Kong SAR",Zambia,28.0
Portugal,Japan,28.0
Austria,Luxembourg,28.0
Switzerland,Turkey,28.0
Fiji,New Caledonia,28.0
Uganda,Pakistan,28.0
Czechia,Côte d'Ivoire,28.0
Poland,Mali,27.0
Thailand,Republic of Moldova,27.0
Japan,Niger,27.0
United Kingdom,Mauritius,27.0
United Kingdom,India,27.0
Uruguay,"China, Macao SAR",27.0
Netherlands,Faroe Islands,27.0
India,Eswatini,27.0
Kuwait,India,27.0
Kuwait,Lebanon,27.0
Indonesia,New Zealand,27.0
Myanmar,Montenegro,27.0
United Kingdom,Kenya,27.0
India,Dominican Republic,27.0
Republic of Korea,Angola,27.0
Republic of Korea,Thailand,27.0
Myanmar,Kuwait,27.0
Belgium,Cambodia,27.0
Slovakia,Qatar,27.0
Thailand,Costa Rica,27.0
Republic of Moldova,Kazakhstan,27.0
Pakistan,Fiji,27.0
Spain,Panama,27.0
United Kingdom,Sri Lanka,27.0
South Africa,Sudan,27.0
United Kingdom,Dominican Republic,27.0
"China, Hong Kong SAR",Cambodia,26.0
Canada,Nicaragua,26.0
Turkey,North Macedonia,26.0
Colombia,Panama,26.0
Thailand,Panama,26.0
Ireland,Latvia,26.0
United Kingdom,Gambia,26.0
Canada,Finland,26.0
Jordan,Thailand,26.0
Ukraine,Cabo Verde,26.0
Sri Lanka,Republic of Korea,26.0
Eritrea,United Arab Emirates,26.0
Malaysia,Tonga,26.0
Philippines,Brunei Darussalam,26.0
Australia,Falkland Islands (Malvinas),26.0
Mali,Senegal,26.0
Fiji,Australia,26.0
Mauritius,Republic of Korea,26.0
Yemen,Mauritania,26.0
Yemen,Philippines,26.0
South Africa,Burkina Faso,26.0
Rwanda,South Sudan,26.0
Morocco,Mali,26.0
Myanmar,United Arab Emirates,26.0
Myanmar,North Macedonia,26.0
Republic of Korea,Sri Lanka,26.0
Belgium,Greenland,26.0
Republic of Korea,Mauritius,26.0
Zambia,Switzerland,26.0
Jordan,Malaysia,25.0
Turkey,South Africa,25.0
Austria,Greenland,25.0
Hungary,Liberia,25.0
Niger,Indonesia,25.0
Ireland,Mozambique,25.0
Portugal,Niger,25.0
Cambodia,Eswatini,25.0
Republic of Korea,Libya,25.0
"China, Taiwan Province of",Solomon Islands,25.0
Sweden,Romania,25.0
Canada,Ethiopia,25.0
Spain,Bahrain,25.0
Iran (Islamic Republic of),Germany,25.0
"China, Taiwan Province of",Sri Lanka,24.0
United Arab Emirates,Togo,24.0
Kenya,Namibia,24.0
United Kingdom,Uganda,24.0
United States of America,Fiji,24.0
Ukraine,Gabon,24.0
Italy,Kenya,24.0
Germany,Chad,24.0
Jordan,Côte d'Ivoire,24.0
Peru,Saint Kitts and Nevis,24.0
Ukraine,Slovenia,24.0
Germany,Cayman Islands,24.0
South Africa,Iraq,24.0
Belgium,Burundi,24.0
Thailand,Mongolia,24.0
Brazil,Malawi,24.0
Estonia,France,24.0
Antigua and Barbuda,Mauritania,24.0
Zambia,Israel,24.0
United Kingdom,Luxembourg,24.0
Republic of Korea,Qatar,24.0
Saudi Arabia,Seychelles,24.0
Republic of Korea,South Africa,24.0
Bulgaria,United Arab Emirates,24.0
India,North Macedonia,23.0
Finland,Guinea,23.0
Malaysia,South Africa,23.0
Republic of Korea,Iraq,23.0
Georgia,Ukraine,23.0
Nepal,"China, mainland",23.0
Sweden,Greenland,23.0
Philippines,Maldives,23.0
Bosnia and Herzegovina,Slovenia,23.0
France,Nepal,23.0
Sweden,India,23.0
Peru,Switzerland,23.0
Turkey,Malaysia,23.0
Thailand,Saint Lucia,23.0
"China, Hong Kong SAR",Israel,23.0
Spain,Peru,23.0
Belgium,Cuba,23.0
United Arab Emirates,Switzerland,23.0
Cambodia,Malta,23.0
Kazakhstan,Austria,23.0
Norway,Pakistan,23.0
Kuwait,Turkey,23.0
Algeria,Spain,22.0
Turkey,Belarus,22.0
Thailand,Wallis and Futuna Islands,22.0
Austria,Bahrain,22.0
Barbados,Cyprus,22.0
South Africa,Nepal,22.0
France,Sierra Leone,22.0
Japan,Qatar,22.0
Republic of Korea,Germany,22.0
Iraq,Iran (Islamic Republic of),22.0
Ethiopia,Qatar,22.0
Iceland,Viet Nam,22.0
United Republic of Tanzania,Malawi,22.0
Aruba,Venezuela (Bolivarian Republic of),22.0
"China, mainland",Côte d'Ivoire,22.0
Panama,Jamaica,22.0
Thailand,Greenland,22.0
Tunisia,United Arab Emirates,22.0
United States of America,Uganda,22.0
Chile,Republic of Moldova,22.0
Lithuania,Liberia,22.0
Czechia,Turkey,22.0
Germany,Uruguay,22.0
Mongolia,Gambia,22.0
Cambodia,Gambia,22.0
Sweden,Slovakia,22.0
Sri Lanka,Cyprus,22.0
Malta,Gambia,22.0
Cambodia,Guinea,21.0
North Macedonia,Czechia,21.0
"China, mainland",Rwanda,21.0
Belgium,Trinidad and Tobago,21.0
Argentina,Gambia,21.0
Chile,Honduras,21.0
Thailand,Slovenia,21.0
Honduras,Republic of Moldova,21.0
Portugal,Gabon,21.0
Antigua and Barbuda,Italy,21.0
Poland,Honduras,21.0
Turks and Caicos Islands,Niger,21.0
Israel,Spain,21.0
Belarus,France,21.0
Tunisia,Liberia,21.0
Indonesia,Canada,21.0
Brazil,Lao People's Democratic Republic,21.0
Andorra,Gambia,21.0
Egypt,United States of America,21.0
Republic of Korea,Nicaragua,21.0
Bhutan,Canada,20.0
Portugal,Malta,20.0
Serbia,Uzbekistan,20.0
Denmark,Nigeria,20.0
Japan,Burundi,20.0
Viet Nam,Estonia,20.0
Lebanon,Brazil,20.0
Senegal,Côte d'Ivoire,20.0
Switzerland,Belarus,20.0
Peru,Belize,20.0
Benin,Togo,20.0
Djibouti,Oman,20.0
Finland,Equatorial Guinea,20.0
Canada,Czechia,20.0
Russian Federation,Comoros,20.0
Ghana,Canada,20.0
Japan,South Africa,20.0
India,French Polynesia,20.0
Côte d'Ivoire,Togo,20.0
Germany,Burkina Faso,20.0
Zambia,Ghana,20.0
Luxembourg,Congo,19.0
Japan,Guam,19.0
Belgium,Israel,19.0
Uzbekistan,Ukraine,19.0
Guatemala,Trinidad and Tobago,19.0
Guatemala,Lao People's Democratic Republic,19.0
Brunei Darussalam,Syrian Arab Republic,19.0
Singapore,Germany,19.0
"China, mainland",Aruba,19.0
Sweden,Georgia,19.0
Montenegro,"China, Hong Kong SAR",19.0
United Arab Emirates,Gabon,19.0
Mali,Burkina Faso,19.0
"China, mainland",Nauru,19.0
Indonesia,Vanuatu,19.0
Poland,Sao Tome and Principe,19.0
France,El Salvador,19.0
Argentina,Slovenia,19.0
Nepal,Venezuela (Bolivarian Republic of),19.0
Mexico,Hungary,19.0
Ukraine,Lao People's Democratic Republic,19.0
Czechia,United Arab Emirates,19.0
Grenada,Bahamas,19.0
France,Greenland,19.0
New Zealand,Honduras,19.0
Benin,Belgium,19.0
Ireland,Lebanon,19.0
Portugal,Cyprus,19.0
Portugal,Algeria,19.0
Mauritius,Seychelles,19.0
Egypt,Greece,18.0
Panama,Bahamas,18.0
Egypt,Israel,18.0
Russian Federation,Brazil,18.0
Mali,Côte d'Ivoire,18.0
Portugal,South Africa,18.0
Indonesia,Sri Lanka,18.0
Poland,Mauritius,18.0
Lebanon,Sweden,18.0
Iran (Islamic Republic of),Sweden,18.0
Viet Nam,Slovenia,18.0
Lebanon,Venezuela (Bolivarian Republic of),18.0
"China, mainland",Norway,18.0
"China, mainland",Maldives,18.0
Luxembourg,Mauritania,18.0
Belgium,"China, Macao SAR",18.0
Norway,Switzerland,18.0
Chile,Togo,18.0
France,Zimbabwe,18.0
Slovenia,Republic of Moldova,18.0
Kazakhstan,Belarus,18.0
Marshall Islands,Mauritius,18.0
Denmark,Albania,18.0
Bahrain,Belgium,18.0
Namibia,United Republic of Tanzania,18.0
"China, Taiwan Province of",Chile,17.0
Angola,Namibia,17.0
Ukraine,United States of America,17.0
Liberia,Mauritius,17.0
Hungary,Bahrain,17.0
Japan,Sweden,17.0
Indonesia,Myanmar,17.0
Denmark,Jordan,17.0
Poland,Palestine,17.0
Bangladesh,Mauritius,17.0
Luxembourg,Nigeria,17.0
Philippines,Bahrain,17.0
Portugal,Greece,17.0
Argentina,Uganda,17.0
France,Montserrat,17.0
Lithuania,Azerbaijan,17.0
Republic of Korea,Guatemala,17.0
Portugal,United States of America,17.0
Denmark,Ghana,17.0
Argentina,Latvia,17.0
Republic of Korea,Guam,17.0
Netherlands,Algeria,17.0
Republic of Korea,"China, Macao SAR",17.0
Lebanon,Belgium,17.0
"China, mainland",Tonga,17.0
Latvia,Israel,17.0
Lebanon,Iraq,17.0
Trinidad and Tobago,Antigua and Barbuda,17.0
Guyana,Ghana,17.0
Pakistan,Cabo Verde,17.0
Pakistan,"China, Macao SAR",17.0
Australia,Nicaragua,17.0
Slovakia,Madagascar,17.0
Zimbabwe,Cameroon,17.0
Italy,Guatemala,17.0
Belgium,Barbados,17.0
Sweden,Liberia,17.0
Slovakia,"China, mainland",17.0
Panama,Uganda,16.0
"China, Taiwan Province of",Pakistan,16.0
"China, mainland",Bosnia and Herzegovina,16.0
Czechia,South Africa,16.0
Malaysia,Papua New Guinea,16.0
Lebanon,Colombia,16.0
Austria,Finland,16.0
Netherlands,Eritrea,16.0
"China, Taiwan Province of",Germany,16.0
Ethiopia,Belgium,16.0
Belgium,Guinea-Bissau,16.0
Czechia,Suriname,16.0
Italy,Sri Lanka,16.0
Haiti,Niger,16.0
Egypt,Ethiopia,16.0
Oman,United Republic of Tanzania,16.0
Greece,Mauritania,16.0
Uruguay,Guyana,16.0
Indonesia,"China, mainland",16.0
Colombia,Chile,16.0
Switzerland,Greece,16.0
South Africa,Papua New Guinea,16.0
Fiji,Cook Islands,16.0
Mauritius,Madagascar,16.0
Greece,Republic of Moldova,16.0
South Africa,North Macedonia,16.0
South Africa,Dominican Republic,16.0
Germany,American Samoa,16.0
"China, mainland",Morocco,16.0
Austria,Côte d'Ivoire,16.0
Bhutan,Ethiopia,16.0
Rwanda,Pakistan,16.0
Germany,Suriname,16.0
Switzerland,India,15.0
Argentina,Antigua and Barbuda,15.0
Nepal,"China, Hong Kong SAR",15.0
Cambodia,Democratic People's Republic of Korea,15.0
Indonesia,Kiribati,15.0
Lebanon,Sudan,15.0
Lebanon,Lithuania,15.0
India,Colombia,15.0
Saint Vincent and the Grenadines,Montserrat,15.0
Indonesia,Belgium,15.0
Bahrain,Norway,15.0
Malaysia,Georgia,15.0
Austria,Mauritius,15.0
France,Afghanistan,15.0
Argentina,Barbados,15.0
Bahrain,Jordan,15.0
Denmark,Uganda,15.0
Thailand,Guatemala,15.0
Cyprus,Kuwait,15.0
Japan,India,15.0
Norway,Serbia,15.0
Denmark,Guyana,15.0
New Zealand,Seychelles,15.0
Bolivia (Plurinational State of),Argentina,15.0
Republic of Korea,Bangladesh,15.0
Cyprus,Benin,15.0
United States of America,Rwanda,15.0
Romania,Lithuania,14.0
Myanmar,Bosnia and Herzegovina,14.0
Japan,Bahrain,14.0
Togo,Gabon,14.0
Germany,Mexico,14.0
Switzerland,Bulgaria,14.0
Austria,Armenia,14.0
Germany,Nepal,14.0
Guyana,Costa Rica,14.0
Kuwait,United States of America,14.0
Tunisia,Guinea,14.0
"China, mainland",Gambia,14.0
Palestine,United Kingdom,14.0
Indonesia,Cambodia,14.0
Philippines,"China, Hong Kong SAR",14.0
Myanmar,Romania,14.0
Pakistan,Jamaica,14.0
Australia,Peru,14.0
Republic of Korea,Chile,14.0
Spain,Maldives,14.0
Bahrain,Cyprus,14.0
Switzerland,Romania,14.0
"China, Hong Kong SAR",Azerbaijan,14.0
Lithuania,Malta,14.0
Argentina,Grenada,14.0
Barbados,United States of America,14.0
Syrian Arab Republic,Qatar,14.0
South Africa,Antarctica,14.0
Ireland,Namibia,14.0
Uganda,United Arab Emirates,14.0
Portugal,Côte d'Ivoire,14.0
"China, mainland",Yemen,14.0
Republic of Korea,Indonesia,14.0
Greece,United States of America,14.0
Brazil,Turkmenistan,14.0
Israel,Equatorial Guinea,14.0
Poland,Chile,14.0
Switzerland,Indonesia,14.0
Australia,Comoros,14.0
Pakistan,India,14.0
Dominican Republic,Antigua and Barbuda,13.0
Finland,Ethiopia,13.0
Egypt,South Africa,13.0
India,Suriname,13.0
India,Paraguay,13.0
Nepal,Australia,13.0
Japan,Italy,13.0
Switzerland,"China, Macao SAR",13.0
Canada,French Southern and Antarctic Territories,13.0
Lebanon,Sierra Leone,13.0
Sri Lanka,Eswatini,13.0
Lebanon,United States of America,13.0
Bulgaria,Côte d'Ivoire,13.0
Malta,Romania,13.0
Uruguay,Cambodia,13.0
Belgium,Saint Lucia,13.0
Uruguay,Georgia,13.0
Myanmar,Serbia,13.0
South Africa,New Zealand,13.0
Namibia,Vanuatu,13.0
Nepal,United Arab Emirates,13.0
Italy,Mozambique,13.0
Nepal,United States of America,13.0
South Africa,Colombia,13.0
Netherlands,Madagascar,13.0
New Zealand,Czechia,13.0
Viet Nam,Cyprus,13.0
Panama,Aruba,13.0
Panama,Rwanda,13.0
Peru,Costa Rica,13.0
Singapore,Angola,13.0
Philippines,Netherlands,13.0
Poland,Somalia,13.0
Portugal,Ghana,13.0
Portugal,Togo,13.0
Russian Federation,Slovakia,13.0
United Republic of Tanzania,Zambia,13.0
Mexico,North Macedonia,13.0
Togo,Equatorial Guinea,13.0
Iran (Islamic Republic of),Qatar,13.0
"China, mainland",Sierra Leone,13.0
Togo,Ghana,13.0
Nauru,South Africa,12.0
"China, Taiwan Province of",Mauritius,12.0
"China, Taiwan Province of",Lebanon,12.0
Namibia,Singapore,12.0
Namibia,Denmark,12.0
Mozambique,Zambia,12.0
Jordan,Egypt,12.0
Mexico,Qatar,12.0
Spain,Costa Rica,12.0
United States of America,Central African Republic,12.0
Turkey,Burkina Faso,12.0
"China, Hong Kong SAR",Micronesia (Federated States of),12.0
United Kingdom,Aruba,12.0
"China, mainland",Qatar,12.0
Czechia,Viet Nam,12.0
Belgium,Somalia,12.0
Belgium,Zimbabwe,12.0
Thailand,North Macedonia,12.0
Spain,Indonesia,12.0
Italy,Barbados,12.0
Cyprus,Albania,12.0
France,Paraguay,12.0
Lebanon,Niger,12.0
United Republic of Tanzania,Ethiopia,12.0
Indonesia,Republic of Korea,12.0
Italy,United Republic of Tanzania,12.0
Saudi Arabia,Ethiopia,12.0
Singapore,Mexico,12.0
Republic of Korea,Kenya,12.0
Italy,Burundi,12.0
Hungary,New Zealand,12.0
Algeria,Tajikistan,12.0
Bolivia (Plurinational State of),Spain,11.0
Spain,New Caledonia,11.0
Philippines,Guam,11.0
Greece,Malaysia,11.0
United Arab Emirates,Malawi,11.0
Andorra,Mauritania,11.0
Cambodia,Kenya,11.0
Cambodia,Marshall Islands,11.0
Aruba,United States of America,11.0
Russian Federation,Panama,11.0
Faroe Islands,Denmark,11.0
Mali,Chile,11.0
France,Palestine,11.0
Iran (Islamic Republic of),Mauritania,11.0
Philippines,"China, Taiwan Province of",11.0
Spain,"China, Macao SAR",11.0
Morocco,Bahrain,11.0
Morocco,Gambia,11.0
Singapore,Nauru,11.0
United Kingdom,Honduras,11.0
Viet Nam,Finland,11.0
Iran (Islamic Republic of),Pakistan,11.0
Namibia,Zimbabwe,11.0
Bahrain,Yemen,11.0
